Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
45000,451423.78,4.6121684e-05,7976872000000.0,0.13643521,0.00030000007,0.29999995,0.0049999994,None,None,None,None,1.0
46000,-44601.977,4.612098e-05,8024382500000.0,0.14444211,0.00029999999,0.29999998,0.0049999994,817.0,1198.555053672667,324.349995046854,324.349995046854,1.0
47000,-236950.94,4.611779e-05,7918480000000.0,0.13215578,0.0003,0.29999995,0.0049999994,1165.0,1198.555053672667,70.40000002086163,70.40000002086163,1.0
48000,195781.16,4.6119283e-05,6760446300000.0,0.1276978,0.00030000007,0.29999995,0.0049999994,1132.0,1198.055053672667,-63.19999694824219,-63.19999694824219,1.0
49000,541841.9,4.612041e-05,5434520000000.0,0.13528319,0.00029999999,0.29999998,0.0049999994,818.0,1198.0564927843764,-9.400000154972076,-9.400000154972076,1.0
50000,621800.0,4.6119087e-05,3753912600000.0,0.13297035,0.0003,0.29999995,0.0049999994,787.0,1198.0579277540232,659.0999936461449,659.0999936461449,1.0
51000,1300087.8,4.6119945e-05,9100537000000.0,0.1330578,0.0003,0.29999995,0.0049999994,706.0,1198.0579277540232,-294.5499954894185,-294.5499954894185,1.0
52000,715655.06,4.6115136e-05,6448357000000.0,0.1466577,0.00030000007,0.29999995,0.0049999994,None,None,None,None,1.0
53000,336309.44,4.611946e-05,4202787000000.0,0.14448968,0.00029999999,0.29999998,0.0049999994,767.5,1198.0579277540232,614.949991941452,614.949991941452,1.0
54000,727910.9,4.6119465e-05,6617780000000.0,0.12941211,0.0003,0.29999995,0.0049999994,699.5,1198.0579277540232,-154.30000146478415,-154.30000146478415,1.0
55000,604638.25,4.61171e-05,2751102200000.0,0.13553762,0.0003,0.29999995,0.0049999994,929.0,1198.0579277540232,-480.69999980926514,-480.69999980926514,1.0
56000,183470.48,4.612019e-05,4878803000000.0,0.13090046,0.0003,0.29999995,0.0049999994,638.0,1198.0579277540232,180.10000070929527,180.10000070929527,1.0
57000,-427183.78,4.6121073e-05,2413834500000.0,0.14878494,0.00029999999,0.29999998,0.0049999994,459.0,1198.0579277540232,-95.59999972581863,-95.59999972581863,1.0
58000,-295026.78,4.6116642e-05,5683417000000.0,0.12746488,0.0003,0.29999995,0.0049999994,830.0,1198.0579277540232,44.10000026226044,44.10000026226044,1.0
59000,-369248.66,4.6120243e-05,1731652500000.0,0.13739417,0.0003,0.29999995,0.0049999994,632.0,1198.0579277540232,-114.64999917149544,-114.64999917149544,1.0
60000,-227241.84,4.6120582e-05,1545747800000.0,0.13807292,0.00029999999,0.29999998,0.0049999994,981.0,1198.0579277540232,-653.8999950289726,-653.8999950289726,1.0
61000,31348.385,4.6117955e-05,1962304300000.0,0.1444391,0.00030000007,0.29999995,0.0049999994,1199.0,1198.0579277540232,-205.90000009536743,-205.90000009536743,1.0
62000,247491.9,4.6119196e-05,1460449800000.0,0.14151059,0.0003,0.29999995,0.0049999994,1199.0,1198.0579277540232,-8.999999701976776,-8.999999701976776,1.0
